Category,Product Name,Product Description,Vendor Name,Price per Unit,Min Quantity,Max Quantity per Shipment,Earliest Delivery
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,43.59,6,153,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,37.0,16,246,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,15.01,1,234,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,36.55,16,151,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,41.43,18,104,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,28.97,5,187,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,33.47,5,342,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,17.86,9,449,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,11.03,20,146,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,25.11,16,191,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,29.93,11,508,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,38.74,14,77,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,22.66,16,39,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,22.4,18,446,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,LG,39.96,19,216,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,41.36,9,277,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,42.42,10,235,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,40.62,7,462,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,14.76,14,344,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,LG,41.85,7,104,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,LG,36.03,18,417,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,40.06,16,215,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,38.39,16,207,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,13.8,15,358,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,41.26,6,238,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,24.51,4,228,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,35.65,15,270,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,12.98,6,269,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,30.44,16,375,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,40.85,13,310,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,11.28,8,60,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,47.57,12,214,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,12.29,16,486,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,17.3,4,137,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,38.71,7,31,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,37.61,7,336,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,31.63,16,272,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,23.13,9,392,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,36.59,9,102,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,40.42,15,175,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,35.54,3,174,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,23.11,15,193,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,LG,14.87,5,497,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,25.76,19,456,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,39.05,12,360,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,39.55,10,510,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,26.09,12,509,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,22.93,15,500,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,32.13,5,505,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,29.49,7,106,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,23.86,1,277,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,21.09,6,462,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,49.5,15,131,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,47.33,20,271,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,30.31,4,50,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,14.69,9,140,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,44.45,19,502,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,46.33,11,87,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,27.76,13,161,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,16.65,15,428,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,16.87,7,316,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,49.14,7,393,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,42.98,9,212,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,18.31,19,395,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,30.69,12,120,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,24.99,9,158,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,40.92,16,493,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,36.82,11,293,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,45.5,12,400,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,44.71,1,458,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,40.37,11,127,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,27.4,16,295,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,30.24,17,217,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,40.58,11,96,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,46.97,18,210,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,48.67,6,199,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,25.1,13,215,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,44.33,14,75,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,46.46,17,310,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,43.34,4,84,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,22.17,20,351,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,41.58,15,331,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,22.25,8,221,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,18.23,12,44,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Bosch Electronics,38.02,9,164,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Samsung,30.78,19,343,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Panasonic,14.71,19,396,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,45.22,19,225,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,47.89,5,197,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,23.36,9,268,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,33.5,17,107,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,NanoByte Innovations,30.51,11,358,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Texas Instruments,38.62,14,298,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,CircuitSphere,24.97,2,293,Within a month
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,24.13,14,326,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,19.8,13,461,2 weeks
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Sony,34.42,14,70,Within a day
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,ElectroNova Labs,30.51,7,41,Within a week
Electronics,HDMI Cable (High-speed 4K HDMI cable),High-speed 4K HDMI cable,Intel,30.42,14,413,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,114.62,3,319,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,84.01,8,444,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,111.57,20,234,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,54.06,20,442,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,141.86,12,226,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,60.93,19,308,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,91.17,10,360,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,70.24,10,416,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,76.78,15,488,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,199.38,3,58,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,68.4,18,149,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,69.78,10,268,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,99.87,11,121,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,113.59,1,30,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,76.12,5,76,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,157.43,10,226,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,35.15,16,441,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,76.87,16,35,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,167.07,4,247,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,138.09,2,123,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",NanoByte Innovations,183.57,4,458,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,191.89,20,104,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,66.6,15,361,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,47.55,1,184,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,21.34,8,332,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,125.5,12,110,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,169.7,13,267,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,93.6,1,253,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,130.37,6,218,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,150.88,7,441,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,35.78,14,34,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,64.71,5,413,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Intel,125.33,7,494,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Sony,85.13,14,244,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,137.25,18,487,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",CircuitSphere,158.29,19,80,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,160.97,17,513,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Panasonic,173.19,6,52,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,126.04,15,310,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,151.48,8,450,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,155.67,9,265,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Texas Instruments,66.43,7,19,Within a day
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",LG,119.0,19,488,Within a week
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Samsung,102.03,7,123,Within a month
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",ElectroNova Labs,68.91,1,500,2 weeks
Electronics,"Power Bank (20,000mAh fast charging power bank)","20,000mAh fast charging power bank",Bosch Electronics,112.43,14,257,2 weeks
